id_uji;document;Klasifikasi Manual;Klasifikasi Sistem
1;best nak beli shopee masa mid year sale ni korang kaki movie netflix tu survey and beli;s1;Belum Diketahui
2;hai numpang jualan ya bingung cari kado ideas temen sahabat orang terdekat bis;s3;Belum Diketahui
3;shopee;s3;Belum Diketahui
4;rekomendasi jam dinding kayu aesthetic ribuan;s3;Belum Diketahui
5;menjual pashmina diamond tali x seharga rp dapatkan shopee;s3;Belum Diketahui
6;satu satunya bisnes berjalan waknat dah kaput mart sedih mat hidup kena diteruskan popc;s3;Belum Diketahui
7;kekoreaan gitu nder tp gak tebel sih;s2;Belum Diketahui
8;wts ar clip selca jaemin cc we boom jeno jatim shopee;s3;Belum Diketahui
9;pm later;s3;Belum Diketahui
10;shopee lazada;s3;Belum Diketahui
11;pakai shopee pay;s1;Belum Diketahui
12;weh korang coins kat shopee hahahaha;s3;Belum Diketahui
13;shopee on top;s3;Belum Diketahui
14;sempena shopee share gambar link barang shopee unik menarik membantu kehidupan seharian k;s1;Belum Diketahui
15;this shop is syurgaaa kerepekkk mcm jenis will b my pkp kudap;s3;Belum Diketahui
16;sempena shopee share gambar link barang shopee unik menarik membantu kehidupan seharian k;s1;Belum Diketahui
17;help want to sell bts photocard offer harga pasar by dm prefer kasih ambil banyakan bundle c;s3;Belum Diketahui
18;thank you menjuak kerepek pagoda kari homemade jemputlah beli;s1;Belum Diketahui
19;open pre order album nct dream x fansign hello future sealed unopened photobook photocard sticker etc rolle;s3;Belum Diketahui
20;jarte sunscreen spray coral friendly x nathanie christy berupa spray jd super praktis reapply cente;s3;Belum Diketahui
21;dah malam guys i need your help my friend s birthday coming soon tp buntu nak belikan;s3;Belum Diketahui
22;gut morning sobat shopee semangatnya nihhhh;s1;Belum Diketahui
23;hai numpang jualan ya bingung cari kado ideas temen sahabat orang terdekat b;s3;Belum Diketahui
24;wts lfb bts ph unsealed bts be essential gt pb cd ob gt php gt payo mop gcash mod shopee checkout lbc https t;s3;Belum Diketahui
25;thank you tag suka shopping kat shopee;s1;Belum Diketahui
26;lag na kaayong shopee;s3;Belum Diketahui
27;auto sirbal slpt;s3;Belum Diketahui
28;home cafe daisy set merry decor;s3;Belum Diketahui
29;sempena shopee share gambar link barang shopee unik menarik membantu kehidupan seharian k;s1;Belum Diketahui
30;shopee live marathon exclusive;s3;Belum Diketahui
31;makasi kang izin jualan baju thrift ya model shopee under k aja;s1;Belum Diketahui
32;coba lo inget nomor shopee lo;s3;Belum Diketahui
33;pm later;s3;Belum Diketahui
34;iyaa kayanya ku murah;s1;Belum Diketahui
35;satu satunya bisnes berjalan waknat dah kaput mart sedih mat hidup kena diteruskan popc;s3;Belum Diketahui
36;bina makan nasi mendongak i punya getah tepi spect ni dah tercabut dah beli kt shopee getah;s3;Belum Diketahui
37;hi indonesia dapet salam pond s superstar muse wendy dapet photocard tote bag cantik yuk beli bu;s1;Belum Diketahui
38;wts want to sale official photocard j hope persona msh mulus bgt inc packing baru pull kmrn idr;s3;Belum Diketahui
39;padan la sedap chocolate tu mcd punya davinci gourmet chocolate sauce;s3;Belum Diketahui
40;sempena shopee share gambar link barang shopee unik menarik membantu kehidupan seharian k;s3;Belum Diketahui
41;room deco without bed frame ft shopee a thread;s3;Belum Diketahui
42;bismillah wish me luck pengen checkout shopee besokk ya allah;s1;Belum Diketahui
43;bismillahirrahmanirrahim doain akak ya dek menang ga shopee aamiin b;s1;Belum Diketahui
44;kursi lipat;s3;Belum Diketahui
45;hay guys wajah glowing ayo pake nidhi hah bokek kemahalan tenang nidhi ngadain promo loh;s3;Belum Diketahui
46;menjual braket crossbar jepit seharga rp dapatkan shopee;s3;Belum Diketahui
47;langsir comey kat shopee dah beli n sgt berpuas hati sbb cantik n siang mcm blackout blackout curtain gitu;s3;Belum Diketahui
48;minta tolong ngasih link ga toko jualan online tokopedia shopee lazada dsb;s3;Belum Diketahui
49;help want to sell bts photocard offer harga pasar by dm prefer kasih ambil banyakan bundle c;s3;Belum Diketahui
50;shopee live marathon exclusive;s3;Belum Diketahui
51;kursi kafe aesthetic meja kamar meja makan;s3;Belum Diketahui
52;bismillahirrahmanirrahim doain akak ya dek menang ga shopee aamiin b;s1;Belum Diketahui
53;help want to sell bts photocard offer harga pasar by dm prefer kasih ambil banyakan bundle c;s3;Belum Diketahui
54;hello i have an entire collection of astro pcs that i m selling through shopee please do take a look at my shop if you re;s3;Belum Diketahui
55;kalo buka apk shopee dana misalkan data ilang sebentar terus muncul;s2;Belum Diketahui
